i,s,f,e,n,d,g,u,l,m,t,p,w,r,b,fm,fa,fb,k,ku,kl,kw,kr,kd,q,x,o,pm,iv
agm2000131309,0,Cs2TaBr6,Br Cs Ta,9,0.016,0.031,0.055,0.113,1.0,0,0.0,2,1,1,-1,,,4.685,0.2,0.317,2,0,,,,,0.31,0.369
agm2000090890,0,Ag3N2F,Ag F N,12,0.017,0.032,0.04,0.242,1.0,1,0.89,2,1,0,-1,,,5.336,0.275,0.461,2,0,,,,,0.96,0.325
agm2000121675,0,CaI,Ca I,4,0.115,0.032,0.087,0.199,0.04,1,0.65,0,1,0,-1,,,4.033,0.129,0.263,1,0,,,,,0.86,0.523
agm2000132782,0,K2VBr6,Br K V,9,0.027,0.032,0.009,0.089,1.0,0,0.0,2,1,1,-1,,,5.314,0.119,0.236,1,0,,,,,0.21,0.064
agm2000066978,0,Na2CeN2,Ce N Na,10,0.03,0.033,0.083,0.253,0.81,0,0.0,2,1,1,-1,,,3.383,0.499,0.362,2,0,,,,,0.94,0.495
agm2000144648,0,CdPF6,Cd F P,8,0.192,0.034,0.069,0.231,0.02,0,0.23,0,1,0,-1,,,6.309,0.217,0.166,2,0,,,,,0.97,0.414
agm2000135643,0,Rb2Ho(HO)6,H Ho O Rb,15,0.116,0.034,0.118,0.035,0.0,1,0.48,1,1,0,-1,,,3.093,0.069,0.178,0,0,,,,,0.7,0.532
Te2V2-5da53e6996e3,1,VTe,Te V,4,0.224,0.035,0.228,0.276,0.02,1,0.7,2,0,0,-1,,,4.636,0.07,0.288,1,2,4.906,,,,0.09,0.925
agm2000133313,0,Na2TaI6,I Na Ta,9,0.042,0.035,0.028,0.082,0.97,0,0.05,2,1,1,-1,,,3.872,0.25,0.31,2,0,,,,,0.14,0.192
agm2000139532,0,LiMnCl4,Cl Li Mn,12,0.012,0.035,0.091,0.232,0.99,0,0.03,2,1,0,-1,,,5.341,0.225,0.171,2,0,,,,,0.43,0.429
agm2000134212,0,Tl2VI6,I Tl V,9,0.047,0.035,0.038,0.119,0.99,0,0.03,2,1,1,-1,,,5.325,0.145,0.162,2,0,,,,,0.16,0.257
agm2000145043,0,KIrBr6,Br Ir K,8,0.02,0.035,0.033,0.116,0.99,0,0.01,2,1,0,-1,,,5.335,0.116,0.259,1,0,,,,,0.66,0.267
agm2000143227,0,CaNbI6,Ca I Nb,8,0.02,0.036,0.054,0.07,0.85,0,0.01,2,1,1,-1,,,4.898,0.034,0.129,0,0,,,,,0.05,0.365
agm2000131255,0,Pu2AgBr6,Ag Br Pu,9,0.035,0.036,0.039,0.108,0.97,0,0.06,2,1,0,-1,,,6.137,0.143,0.15,2,0,,,,,0.31,0.264
agm2000137125,0,PaIO,I O Pa,6,0.017,0.036,0.049,0.288,1.0,1,0.63,2,1,0,-1,,,4.848,0.393,0.385,2,0,,,,,0.48,0.334
agm2000143337,0,CaTaCl6,Ca Cl Ta,8,0.013,0.037,0.06,0.098,0.97,0,0.0,2,1,1,-1,,,5.774,0.106,0.152,1,0,,,,,0.11,0.403
agm2000033954,0,Cu3F4,Cu F,28,0.019,0.037,0.066,0.138,0.96,1,0.61,2,1,0,-1,,,6.02,0.119,0.281,1,0,,,,,0.81,0.398
agm2000133075,0,Ce2MgBr6,Br Ce Mg,9,0.04,0.037,0.032,0.093,1.0,0,0.01,2,1,1,-1,,,5.323,0.194,0.212,2,0,,,,,0.43,0.213
agm2000107070,0,Nd2DyN3,Dy N Nd,12,0.08,0.037,0.084,0.118,0.2,1,0.7,0,1,0,-1,,,3.5,0.985,0.53,2,0,,,,,0.86,0.5
agm2000118853,0,Ag6Se5,Ag Se,11,0.013,0.038,0.027,0.162,0.77,1,0.77,2,1,0,-1,,,5.452,0.099,0.219,1,0,,,,,0.77,0.215
agm2000145076,0,KWI6,I K W,8,0.023,0.038,0.038,0.124,0.99,0,0.09,2,1,1,-1,,,4.902,0.176,0.156,2,0,,,,,0.17,0.255
agm2000033732,0,AgF2,Ag F,24,0.046,0.038,0.064,0.112,0.79,1,0.54,2,0,0,-1,,,6.07,0.108,0.188,1,0,,,,,0.54,0.381
JVASP-19524,2,UI3,I U,8,0.073,0.039,0.06,0.106,1.0,0,0.0,2,0,0,-1,,,4.948,0.428,0.158,2,0,,,,,0.59,0.487
agm2000140769,0,PuVBr4,Br Pu V,12,0.056,0.039,0.043,0.131,0.62,0,0.0,2,1,0,-1,,,5.128,0.209,0.154,2,0,,,,,0.22,0.292
agm2000131421,0,Rb2RuBr6,Br Rb Ru,9,0.029,0.039,0.026,0.086,1.0,0,0.0,2,1,1,-1,,,5.221,0.158,0.227,2,0,,,,,0.15,0.177
agm2000140216,0,MoWSe4,Mo Se W,12,0.028,0.039,0.1,0.123,0.87,0,0.01,2,1,0,-1,,,4.59,0.016,0.073,0,0,,,,,0.46,0.395
agm2000138927,0,PrDyCl4,Cl Dy Pr,12,0.01,0.04,0.033,0.071,0.98,0,0.0,2,1,1,-1,,,6.034,0.333,0.155,2,0,,,,,0.4,0.225
agm2000144143,0,HoTiCl6,Cl Ho Ti,8,0.049,0.041,0.029,0.036,0.91,0,0.0,2,2,1,-1,,,5.922,0.127,0.128,1,0,,,,,0.04,0.198
agm2000087917,0,Ag3Br3F2,Ag Br F,16,0.06,0.041,0.055,0.13,0.73,1,0.74,2,1,1,-1,,,5.594,0.122,0.275,1,0,,,,,0.61,0.448
agm2000122334,0,NaSn,Na Sn,8,0.012,0.041,0.068,0.194,0.99,1,0.67,2,1,0,-1,,,2.42,0.319,0.218,2,0,,,,,0.88,0.404
agm2000143637,0,KIrCl6,Cl Ir K,8,0.022,0.041,0.062,0.118,0.99,0,0.0,2,1,1,-1,,,5.76,0.086,0.239,0,0,,,,,0.65,0.369
agm2000099587,0,Cu3OF3,Cu F O,14,0.016,0.042,0.069,0.122,0.97,1,0.8,2,1,1,-1,,,6.194,0.104,0.305,1,0,,,,,0.84,0.416
agm2000126622,0,Cs3Bi,Bi Cs,4,0.048,0.042,0.049,0.229,1.0,1,0.6,2,1,0,-1,,,3.779,0.19,0.378,2,0,,,,,0.91,0.399
agm2000131505,0,Ca2AgI6,Ag Ca I,9,0.014,0.042,0.106,0.112,0.95,1,0.93,2,1,1,-1,,,5.292,0.043,0.195,0,0,,,,,0.77,0.478
agm2000135635,0,Rb2Dy(HO)6,Dy H O Rb,15,0.115,0.043,0.067,0.043,0.01,1,0.44,0,1,0,-1,,,3.064,0.091,0.171,1,0,,,,,0.73,0.401
agm2000135228,0,CdAg2(HO)6,Ag Cd H O,15,0.025,0.043,0.031,0.182,1.0,1,0.42,2,1,0,-1,,,2.818,0.222,0.125,2,0,,,,,0.79,0.255
agm2000122762,0,SrI,I Sr,4,0.104,0.043,0.188,0.181,0.04,1,0.64,2,1,0,-1,,,3.949,0.164,0.26,2,0,,,,,0.52,0.675
agm2000139937,0,CeNiI4,Ce I Ni,12,0.019,0.043,0.049,0.103,1.0,0,0.05,2,1,0,-1,,,5.266,0.065,0.136,0,0,,,,,0.34,0.332
agm2000132743,0,K2TaBr6,Br K Ta,9,0.036,0.044,0.044,0.105,0.99,0,0.0,2,1,1,-1,,,5.031,0.127,0.254,1,0,,,,,0.19,0.295
agm2000135692,0,Rb2Tm(HO)6,H O Rb Tm,15,0.136,0.044,0.101,0.046,0.01,1,0.52,1,1,0,-1,,,3.052,0.068,0.191,0,0,,,,,0.71,0.455
agm2000067378,0,Cu3Cl3O,Cl Cu O,14,0.013,0.044,0.03,0.18,0.99,1,0.64,2,1,1,-1,,,5.403,0.085,0.275,1,0,,,,,0.63,0.242
agm2000137314,0,KZn(SeO3)2,K O Se Zn,10,0.044,0.044,0.087,0.095,0.05,0,0.13,0,1,0,-1,,,7.038,0.181,0.202,2,0,,,,,0.95,0.524
agm2000110354,0,RhClO,Cl O Rh,6,0.019,0.044,0.06,0.282,1.0,1,0.78,2,1,1,-1,,,5.407,0.055,0.215,0,0,,,,,0.63,0.485
agm2000122424,0,PbN,N Pb,8,0.061,0.045,0.071,0.252,0.56,1,0.99,2,1,1,-1,,,4.286,0.14,0.381,2,0,,,,,0.98,0.422
agm2000123204,0,Rb2As,As Rb,6,0.053,0.045,0.048,0.137,0.3,1,0.51,0,1,0,-1,,,4.321,0.305,0.338,2,0,,,,,0.6,0.389
agm2000145045,0,KMoBr6,Br K Mo,8,0.026,0.045,0.032,0.108,0.99,0,0.0,2,1,1,-1,,,5.42,0.12,0.218,1,0,,,,,0.59,0.262
agm2000136945,0,NbSN,N Nb S,6,0.029,0.045,0.065,0.215,0.98,1,1.0,2,1,0,-1,,,5.352,0.145,0.25,2,0,,,,,0.42,0.305
agm2000101526,0,V2NiSe3,Ni Se V,12,0.051,0.045,0.092,0.152,0.98,1,0.69,2,3,1,-1,,,4.763,0.122,0.264,1,0,,,,,0.9,0.415
agm2000060549,0,Tl2VS3,S Tl V,6,0.013,0.045,0.063,0.212,0.49,1,0.85,0,1,0,-1,,,5.756,0.126,0.281,1,0,,,,,0.75,0.379
agm2000049511,0,Cu3F4,Cu F,14,0.018,0.045,0.052,0.191,0.92,0,0.22,2,1,0,-1,,,6.028,0.274,0.276,2,0,,,,,0.77,0.424
agm2000144161,0,SmTiCl6,Cl Sm Ti,8,0.032,0.045,0.028,0.039,0.87,0,0.0,2,1,1,-1,,,6.019,0.09,0.131,1,0,,,,,0.07,0.186
agm2000120399,0,Br7Cl10,Br Cl,17,0.129,0.045,0.095,0.208,0.13,0,0.26,1,1,1,-1,,,6.636,0.176,0.168,2,0,,,,,0.68,0.431
agm2000141287,0,CePbCl5,Ce Cl Pb,14,0.033,0.045,0.031,0.121,0.99,0,0.0,2,1,1,-1,,,6.208,0.188,0.1,2,0,,,,,0.13,0.209
agm2000116518,0,U3Cl8,Cl U,11,0.036,0.045,0.035,0.075,0.99,0,0.0,2,1,0,-1,,,5.735,0.734,0.13,2,0,,,,,0.54,0.285
agm2000144154,0,PmTiCl6,Cl Pm Ti,8,0.025,0.045,0.052,0.044,0.94,0,0.0,2,1,1,-1,,,5.868,0.195,0.125,2,0,,,,,0.08,0.353
agm2000099246,0,TbNd2N3,N Nd Tb,12,0.05,0.046,0.038,0.12,0.61,1,0.89,2,1,0,-1,,,3.584,0.992,0.508,2,0,,,,,0.86,0.31
agm2000057748,0,TbNd2N3,N Nd Tb,6,0.097,0.046,0.038,0.12,0.61,1,0.89,2,1,0,-1,,,3.584,0.992,0.508,2,0,,,,,0.86,0.311
agm2000132761,0,K2OsI6,I K Os,9,0.018,0.046,0.045,0.097,1.0,0,0.0,2,1,0,-1,,,4.822,0.147,0.192,2,0,,,,,0.14,0.303
agm2000143343,0,CaVCl6,Ca Cl V,8,0.011,0.046,0.073,0.111,1.0,0,0.0,2,1,1,-1,,,5.893,0.111,0.146,1,0,,,,,0.28,0.345
Cl2O2Rh2-c6c664595ece,1,RhClO,Cl O Rh,6,0.04,0.046,0.061,0.282,1.0,1,0.78,2,0,0,-1,,,5.406,0.054,0.215,0,1,5.44,,,,0.63,0.363
agm2000145985,0,BaVI6,Ba I V,8,0.031,0.047,0.046,0.115,1.0,0,0.0,2,1,0,-1,,,4.894,0.091,0.129,1,0,,,,,0.27,0.309
agm2000145853,0,HoTiBr6,Br Ho Ti,8,0.04,0.047,0.057,0.031,0.76,0,0.0,2,1,1,-1,,,5.497,0.162,0.127,2,0,,,,,0.08,0.384
agm2000086014,0,Cu3SeCl2,Cl Cu Se,12,0.03,0.047,0.056,0.185,1.0,1,0.45,2,1,0,-1,,,5.209,0.206,0.247,2,0,,,,,0.75,0.458
agm2000134333,0,Hg(PbBr4)2,Br Hg Pb,11,0.034,0.047,0.051,0.124,0.96,0,0.21,2,1,0,-1,,,5.984,0.055,0.12,0,0,,,,,0.74,0.415
agm2000134829,0,CuSn3Cl8,Cl Cu Sn,12,0.015,0.047,0.116,0.132,0.84,1,0.59,2,1,1,-1,,,5.678,0.123,0.174,1,0,,,,,0.76,0.523
agm2000001322,0,InH3,H In,8,0.113,0.047,0.03,0.286,0.8,1,0.79,2,1,0,-1,,,4.604,0.176,0.26,2,0,,,,,0.92,0.246
agm2000139521,0,LiCeCl4,Ce Cl Li,12,0.013,0.047,0.048,0.125,0.99,0,0.01,2,1,1,-1,,,5.717,0.409,0.151,2,0,,,,,0.24,0.325
agm2000008939,0,Rb3P,P Rb,8,0.022,0.047,0.044,0.159,0.95,1,0.4,2,1,0,-1,,,3.559,0.386,0.308,2,0,,,,,0.87,0.359
agm2000141554,0,CeSnCl5,Ce Cl Sn,14,0.027,0.047,0.06,0.109,0.99,0,0.0,2,1,1,-1,,,5.953,0.177,0.139,2,0,,,,,0.15,0.407
agm2000132699,0,Pu2ThI6,I Pu Th,9,0.019,0.048,0.036,0.143,1.0,0,0.0,2,1,1,-1,,,5.145,0.127,0.205,1,0,,,,,0.39,0.242
agm2000134873,0,PuSn3Cl8,Cl Pu Sn,12,0.01,0.048,0.009,0.142,0.96,0,0.02,2,1,0,-1,,,5.825,0.072,0.167,0,0,,,,,0.78,0.07
agm2000144292,0,DyZrCl6,Cl Dy Zr,8,0.017,0.048,0.063,0.109,0.96,0,0.0,2,1,1,-1,,,5.881,0.261,0.123,2,0,,,,,0.21,0.296
agm2000135686,0,Rb2Tb(HO)6,H O Rb Tb,15,0.1,0.048,0.132,0.029,0.02,1,0.51,1,1,0,-1,,,3.074,0.117,0.172,1,0,,,,,0.77,0.599
agm2000135441,0,K2Sm(HO)6,H K O Sm,15,0.058,0.048,0.032,0.037,0.05,0,0.26,0,0,0,-1,,,2.988,0.076,0.15,0,0,,,,,0.83,0.262
agm2000139537,0,LiPaCl4,Cl Li Pa,12,0.036,0.049,0.024,0.178,0.97,0,0.09,2,1,1,-1,,,5.401,0.441,0.265,2,0,,,,,0.22,0.161
agm2000011346,0,Na3As,As Na,8,0.098,0.049,0.052,0.165,0.0,0,0.04,0,1,0,-1,,,2.215,0.338,0.244,2,0,,,,,0.97,0.421
agm2000141118,0,SrCeBr5,Br Ce Sr,14,0.013,0.049,0.018,0.1,0.97,0,0.05,2,1,1,-1,,,5.644,0.201,0.166,2,0,,,,,0.06,0.122
agm2000144008,0,ScTiCl6,Cl Sc Ti,8,0.081,0.05,0.041,0.059,0.71,0,0.01,2,1,1,-1,,,5.414,0.083,0.124,0,0,,,,,0.06,0.276
agm2000106574,0,Rb2NaP,Na P Rb,8,0.078,0.05,0.04,0.152,0.41,0,0.03,0,1,1,-1,,,3.089,0.596,0.356,2,0,,,,,0.9,0.321
agm2000135637,0,Rb2Er(HO)6,Er H O Rb,15,0.122,0.05,0.086,0.027,0.01,1,0.45,0,1,0,-1,,,3.096,0.071,0.183,0,0,,,,,0.75,0.516
agm2000133321,0,Na2NbI6,I Na Nb,9,0.03,0.051,0.024,0.071,0.9,0,0.0,2,1,1,-1,,,3.942,0.231,0.302,2,0,,,,,0.07,0.161
agm2000015373,0,Cd3As2,As Cd,10,0.381,0.051,0.095,0.163,0.2,1,0.33,1,0,0,-1,,,5.087,0.114,0.407,2,0,,,,,0.97,0.43
agm2000135465,0,K2Y(HO)6,H K O Y,15,0.104,0.051,0.124,0.021,0.02,0,0.26,1,1,0,-1,,,2.934,0.075,0.137,0,0,,,,,0.72,0.562
agm2000140233,0,TaNbSe4,Nb Se Ta,12,0.023,0.052,0.09,0.098,0.99,1,0.57,2,1,1,-1,,,5.129,0.046,0.123,0,0,,,,,0.44,0.424
agm2000136823,0,LiZr(AgI3)2,Ag I Li Zr,10,0.08,0.052,0.048,0.176,0.38,1,0.58,0,1,0,-1,,,4.882,0.117,0.294,1,0,,,,,0.54,0.39
agm2000136309,0,RhSF,F Rh S,6,0.058,0.052,0.068,0.205,0.33,1,0.8,0,1,1,-1,,,6.29,0.304,0.339,2,0,,,,,0.69,0.408
agm2000134500,0,Sr(SO4)2,O S Sr,11,0.012,0.052,0.1,0.161,0.99,1,0.45,2,1,0,-1,,,7.674,0.402,0.163,2,0,,,,,0.84,0.454
agm2000131417,0,Rb2OsBr6,Br Os Rb,9,0.034,0.053,0.071,0.114,1.0,0,0.0,2,3,1,-1,,,5.03,0.266,0.214,2,0,,,,,0.09,0.336
agm2000144138,0,ErTiCl6,Cl Er Ti,8,0.052,0.053,0.055,0.046,0.67,0,0.0,2,1,1,-1,,,6.016,0.206,0.118,2,0,,,,,0.05,0.371
agm2000142284,0,CeVBr5,Br Ce V,14,0.02,0.053,0.042,0.114,0.95,0,0.0,2,1,1,-1,,,5.23,0.242,0.131,2,0,,,,,0.36,0.287
agm2000137955,0,InBS3,B In S,10,0.018,0.053,0.076,0.296,0.81,1,0.84,2,1,1,-1,,,5.901,0.211,0.217,2,0,,,,,0.89,0.453
agm2000141760,0,BaCeI5,Ba Ce I,14,0.015,0.053,0.049,0.139,0.97,0,0.04,2,1,1,-1,,,5.214,0.128,0.162,1,0,,,,,0.13,0.33
agm2000132733,0,K2NbBr6,Br K Nb,9,0.033,0.054,0.035,0.076,0.99,0,0.0,2,1,1,-1,,,5.136,0.082,0.255,0,0,,,,,0.13,0.239
agm2000106424,0,Na3Ag3As2,Ag As Na,16,0.131,0.054,0.134,0.215,0.92,1,0.7,2,1,0,-1,,,2.906,0.3,0.245,2,0,,,,,0.95,0.607
agm2000022292,0,CrI2,Cr I,6,0.036,0.054,0.058,0.198,1.0,1,0.41,2,1,0,-1,,,4.848,0.039,0.13,0,0,,,,,0.38,0.392
agm2000142621,0,CsWBr6,Br Cs W,8,0.029,0.054,0.068,0.119,0.98,0,0.21,2,1,1,-1,,,4.892,0.139,0.254,2,0,,,,,0.5,0.323
agm2000124410,0,K2As,As K,6,0.116,0.054,0.079,0.16,0.56,1,0.72,2,1,0,-1,,,4.547,0.47,0.4,2,0,,,,,0.81,0.471
agm2000040849,0,CuS,Cu S,12,0.026,0.055,0.047,0.162,0.99,1,0.91,2,1,0,-1,,,5.552,0.254,0.255,2,0,,,,,0.71,0.382
agm2000036041,0,TiBr3,Br Ti,16,0.013,0.055,0.04,0.129,0.91,0,0.14,2,1,1,-1,,,4.914,0.106,0.315,2,0,,,,,0.5,0.27
agm2000145740,0,ScTiBr6,Br Sc Ti,8,0.061,0.055,0.016,0.054,0.62,0,0.01,2,1,1,-1,,,5.144,0.056,0.094,0,0,,,,,0.11,0.111
agm2000063065,0,AgSbTe2,Ag Sb Te,8,0.131,0.055,0.286,0.215,0.0,1,0.34,2,1,0,-1,,,4.783,0.106,0.222,1,0,,,,,0.97,1.025
agm2000132075,0,Rb2VCl6,Cl Rb V,9,0.012,0.055,0.052,0.12,1.0,0,0.0,2,1,1,-1,,,5.504,0.087,0.245,0,0,,,,,0.28,0.352
agm2000135696,0,Rb2Y(HO)6,H O Rb Y,15,0.117,0.055,0.134,0.031,0.02,1,0.45,1,0,0,-1,,,3.04,0.036,0.163,0,0,,,,,0.72,0.606
agm2000105811,0,LiCuI3,Cu I Li,10,0.036,0.056,0.121,0.153,0.59,1,0.58,2,1,0,-1,,,4.827,0.053,0.237,0,0,,,,,0.8,0.548
agm2000135882,0,CeSeCl,Ce Cl Se,6,0.015,0.056,0.03,0.16,1.0,0,0.0,2,1,1,-1,,,5.751,0.264,0.269,2,0,,,,,0.48,0.204
agm2000133094,0,Ce2MgCl6,Ce Cl Mg,9,0.045,0.056,0.016,0.125,1.0,0,0.0,2,1,0,-1,,,5.608,0.289,0.215,2,0,,,,,0.46,0.111
agm2000009572,0,PdCl4,Cl Pd,5,0.017,0.056,0.074,0.259,0.87,0,0.26,2,1,0,-1,,,6.032,0.064,0.168,0,0,,,,,0.73,0.44
agm2000055953,0,Cs2LiAs,As Cs Li,4,0.036,0.056,0.035,0.156,0.99,1,0.39,2,1,1,-1,,,4.264,0.439,0.456,2,0,,,,,0.93,0.282
agm2000105745,0,Cs2LiAs,As Cs Li,8,0.047,0.057,0.034,0.156,0.99,1,0.39,2,1,1,-1,,,4.265,0.44,0.456,2,0,,,,,0.93,0.279
agm2000118281,0,Mn5Br12,Br Mn,17,0.018,0.057,0.095,0.187,0.99,0,0.14,2,1,0,-1,,,5.619,0.064,0.152,0,0,,,,,0.47,0.373
agm2000145869,0,SmTiBr6,Br Sm Ti,8,0.028,0.057,0.034,0.04,0.77,0,0.0,2,1,1,-1,,,5.611,0.073,0.131,0,0,,,,,0.1,0.231
agm2000145850,0,ErTiBr6,Br Er Ti,8,0.042,0.057,0.049,0.04,0.69,0,0.0,2,1,1,-1,,,5.554,0.133,0.116,2,0,,,,,0.08,0.331
agm2000140686,0,CeTiI4,Ce I Ti,12,0.044,0.057,0.053,0.106,1.0,0,0.01,2,1,0,-1,,,4.466,0.239,0.134,2,0,,,,,0.19,0.355
agm2000139355,0,BaNdI4,Ba I Nd,12,0.038,0.057,0.081,0.058,0.03,0,0.01,0,1,1,-1,,,4.972,0.265,0.198,2,0,,,,,0.37,0.383
agm2000142899,0,RbIrBr6,Br Ir Rb,8,0.023,0.057,0.025,0.121,0.99,0,0.2,2,1,0,-1,,,5.282,0.094,0.225,1,0,,,,,0.65,0.205
agm2000140179,0,HfNpSe4,Hf Np Se,12,0.021,0.057,0.065,0.12,1.0,0,0.01,2,1,1,-1,,,5.209,0.235,0.17,2,0,,,,,0.15,0.308
agm2000145849,0,DyTiBr6,Br Dy Ti,8,0.038,0.057,0.064,0.028,0.81,0,0.0,2,1,1,-1,,,5.494,0.17,0.127,2,0,,,,,0.08,0.302
agm2000137390,0,NaZn(SeO3)2,Na O Se Zn,10,0.196,0.058,0.173,0.105,0.01,0,0.3,2,1,0,-1,,,6.616,0.271,0.242,2,0,,,,,0.87,0.62
agm2000118311,0,Zn5Br12,Br Zn,17,0.158,0.058,0.025,0.116,0.54,0,0.01,2,1,0,-1,,,5.445,0.056,0.234,0,0,,,,,0.77,0.203
agm2000118558,0,Br5F6,Br F,11,0.293,0.058,0.108,0.175,0.85,1,0.51,2,3,1,-1,,,6.156,0.363,0.27,2,0,,,,,0.84,0.49
agm2000145803,0,SrNbI6,I Nb Sr,8,0.032,0.058,0.059,0.066,0.81,0,0.0,2,1,1,-1,,,4.929,0.069,0.137,0,0,,,,,0.05,0.4
agm2000131955,0,Rb2OsCl6,Cl Os Rb,9,0.02,0.058,0.054,0.087,0.93,0,0.0,2,1,1,-1,,,5.146,0.117,0.262,1,0,,,,,0.1,0.366
agm2000143736,0,BaNbCl6,Ba Cl Nb,8,0.019,0.058,0.038,0.13,0.99,0,0.0,2,2,1,-1,,,5.584,0.137,0.178,2,0,,,,,0.19,0.258
agm2000003209,0,MnTe,Mn Te,6,0.035,0.058,0.111,0.16,0.99,1,1.0,2,1,0,-1,,,4.406,0.159,0.296,2,0,,,,,0.58,0.501
agm2000115762,0,Cs5Au3,Au Cs,8,0.162,0.058,0.145,0.235,0.84,1,0.49,2,1,0,-1,,,4.18,0.351,0.347,2,0,,,,,1.0,0.519
agm2000104279,0,Cu3I3Br,Br Cu I,14,0.044,0.059,0.057,0.171,0.96,0,0.09,2,1,1,-1,,,5.05,0.153,0.384,2,0,,,,,0.55,0.463
agm2000125626,0,AuS2,Au S,6,0.085,0.059,0.06,0.223,0.02,1,0.76,0,1,0,-1,,,4.793,0.124,0.199,1,0,,,,,0.91,0.489
agm2000020056,0,CuBr2,Br Cu,6,0.064,0.059,0.071,0.185,0.62,1,0.4,2,1,0,-1,,,5.452,0.11,0.258,1,0,,,,,0.64,0.422
agm2000030875,0,CuCl2,Cl Cu,12,0.028,0.059,0.068,0.194,1.0,1,0.43,2,1,0,-1,,,5.423,0.122,0.278,1,0,,,,,0.55,0.41
agm2000078950,0,RbNa2As,As Na Rb,8,0.031,0.059,0.034,0.128,0.02,0,0.1,0,0,0,-1,,,2.893,0.454,0.318,2,0,,,,,0.93,0.273
agm2000104694,0,Re(IF)2,F I Re,10,0.05,0.059,0.036,0.153,0.25,0,0.14,0,1,0,-1,,,4.934,0.345,0.365,2,0,,,,,0.17,0.24
Te2Ti2-ecf4b958e9a1,1,TiTe,Te Ti,4,0.11,0.059,0.207,0.19,0.09,0,0.24,2,0,0,-1,,,4.534,0.038,0.23,0,1,4.598,,,,0.68,0.741
agm2000143221,0,CaTaI6,Ca I Ta,8,0.018,0.06,0.024,0.074,0.87,0,0.05,2,1,1,-1,,,4.787,0.039,0.127,0,0,,,,,0.06,0.162
agm2000111036,0,RuF4,F Ru,10,0.587,0.06,0.117,0.196,0.59,0,0.15,2,2,1,-1,,,5.803,0.262,0.136,2,0,,,,,0.67,0.528
agm2000144314,0,TmZrCl6,Cl Tm Zr,8,0.072,0.06,0.058,0.12,0.01,0,0.01,0,2,1,-1,,,5.768,0.252,0.128,2,0,,,,,0.29,0.39
agm2000136976,0,PaBiO,Bi O Pa,6,0.046,0.06,0.078,0.22,1.0,1,0.59,2,1,1,-1,,,4.231,0.678,0.449,2,0,,,,,0.91,0.467
agm2000145078,0,KMoI6,I K Mo,8,0.015,0.06,0.022,0.114,0.99,0,0.04,2,1,0,-1,,,4.989,0.111,0.156,1,0,,,,,0.41,0.148
agm2000036375,0,PdBr2,Br Pd,12,0.012,0.06,0.064,0.17,0.99,1,0.74,2,1,0,-1,,,5.917,0.052,0.178,0,0,,,,,0.68,0.38
agm2000134773,0,Ag3SbCl8,Ag Cl Sb,12,0.034,0.06,0.062,0.125,0.36,1,0.51,0,0,0,-1,,,7.078,0.121,0.115,1,0,,,,,0.27,0.291
agm2000144271,0,ZnBiCl6,Bi Cl Zn,8,0.036,0.06,0.029,0.093,0.98,1,0.65,2,1,0,-1,,,6.369,0.101,0.106,1,0,,,,,0.67,0.237
agm2000144770,0,BaTaI6,Ba I Ta,8,0.044,0.06,0.082,0.111,1.0,0,0.11,2,3,1,-1,,,4.684,0.094,0.138,1,0,,,,,0.08,0.389
agm2000124412,0,K2Bi,Bi K,6,0.01,0.061,0.084,0.166,1.0,0,0.21,2,1,0,-1,,,3.87,0.219,0.293,2,0,,,,,0.85,0.502
agm2000136895,0,NaHf(AgI3)2,Ag Hf I Na,10,0.109,0.061,0.072,0.161,0.85,1,0.47,2,1,0,-1,,,4.439,0.283,0.333,2,0,,,,,0.48,0.342
agm2000003560,0,Sm2Se3,Se Sm,5,0.061,0.061,0.088,0.217,0.02,1,0.79,0,1,0,-1,,,5.368,0.265,0.279,2,0,,,,,0.92,0.525
agm2000062664,0,TiNF,F N Ti,6,0.185,0.061,0.208,0.228,0.81,1,0.71,2,1,0,-1,,,4.36,0.13,0.233,1,0,,,,,0.22,0.845
agm2000145628,0,RbWI6,I Rb W,8,0.029,0.062,0.077,0.125,0.95,1,0.35,2,0,0,-1,,,4.805,0.109,0.17,1,0,,,,,0.38,0.365
agm2000133023,0,Sr2LiI6,I Li Sr,9,0.039,0.062,0.043,0.132,0.96,1,0.89,2,1,0,-1,,,4.976,0.076,0.128,0,0,,,,,0.97,0.351
agm2000138872,0,NdDyCl4,Cl Dy Nd,12,0.015,0.063,0.033,0.067,0.93,0,0.05,2,1,1,-1,,,5.878,0.401,0.16,2,0,,,,,0.42,0.225
agm2000142740,0,CsMoBr6,Br Cs Mo,8,0.029,0.063,0.089,0.116,1.0,0,0.29,2,3,1,-1,,,4.991,0.171,0.257,2,0,,,,,0.78,0.532
agm2000143651,0,KRhCl6,Cl K Rh,8,0.021,0.063,0.078,0.142,0.96,0,0.0,2,1,0,-1,,,6.095,0.082,0.191,0,0,,,,,0.72,0.467
agm2000142025,0,NaPaCl5,Cl Na Pa,14,0.023,0.063,0.073,0.167,0.9,0,0.02,2,1,1,-1,,,5.618,0.378,0.29,2,0,,,,,0.29,0.342
agm2000063323,0,AgHgAs,Ag As Hg,12,0.233,0.063,0.075,0.205,0.97,1,0.76,2,0,0,-1,,,5.446,0.207,0.367,2,0,,,,,0.76,0.45
